,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[204],1.189,0.631,0.114,2.436,0.01,0.013,5041.0,2455.0,1.0
log_tau_participant_raw[205],0.835,0.643,-0.273,2.051,0.009,0.011,5707.0,2894.0,1.0
log_tau_participant_raw[206],0.87,0.675,-0.251,2.178,0.011,0.012,4848.0,2562.0,1.0
log_tau_participant_raw[207],0.139,0.693,-0.975,1.499,0.013,0.014,4036.0,2513.0,1.0
log_tau_participant_raw[208],-0.058,0.505,-0.859,0.866,0.011,0.019,3475.0,1723.0,1.0
log_tau_participant_raw[209],-1.987,0.53,-2.955,-0.995,0.008,0.011,4667.0,2267.0,1.0
log_tau_participant_raw[210],-0.089,0.624,-1.059,1.106,0.012,0.013,3740.0,2070.0,1.0
log_tau_participant_raw[211],0.17,0.669,-0.855,1.461,0.013,0.015,3657.0,2337.0,1.0
log_tau_participant_raw[212],-0.186,0.552,-1.056,0.895,0.011,0.015,4271.0,1833.0,1.0
log_tau_participant_raw[213],0.281,0.624,-0.69,1.542,0.012,0.014,3692.0,1838.0,1.0
log_tau_participant_raw[214],0.292,0.566,-0.646,1.363,0.011,0.013,3901.0,1918.0,1.0
log_tau_participant_raw[215],-0.589,0.434,-1.375,0.211,0.008,0.012,4183.0,1786.0,1.0
log_tau_participant_raw[216],-0.114,0.533,-0.916,0.977,0.012,0.015,2907.0,1637.0,1.0
log_tau_participant_raw[217],0.983,0.67,-0.259,2.206,0.011,0.012,4658.0,2582.0,1.0
log_tau_participant_raw[218],0.682,0.647,-0.428,1.898,0.01,0.01,4998.0,2696.0,1.0
log_tau_participant_raw[219],0.932,0.688,-0.304,2.204,0.011,0.014,4721.0,1874.0,1.0
log_tau_participant_raw[220],-0.324,0.509,-1.123,0.73,0.01,0.013,3373.0,1903.0,1.0
log_tau_participant_raw[221],0.812,0.639,-0.273,2.042,0.01,0.011,4768.0,2696.0,1.0
log_tau_participant_raw[222],0.955,0.667,-0.197,2.199,0.011,0.011,4379.0,2646.0,1.0
log_tau_participant_raw[223],0.485,0.688,-0.66,1.761,0.011,0.012,4465.0,2763.0,1.0
log_tau_participant_raw[224],-0.518,0.408,-1.211,0.255,0.008,0.011,3353.0,1655.0,1.0
log_tau_participant_raw[225],-0.658,0.4,-1.341,0.063,0.009,0.019,3268.0,1410.0,1.0
log_tau_participant_raw[226],0.919,0.663,-0.27,2.159,0.01,0.011,5232.0,2664.0,1.0
log_tau_participant_raw[227],0.594,0.641,-0.474,1.825,0.011,0.012,4088.0,2341.0,1.0
log_tau_participant_raw[228],-1.524,0.606,-2.642,-0.398,0.008,0.014,5397.0,2350.0,1.0
log_tau_participant_raw[229],1.039,0.653,-0.068,2.255,0.01,0.012,4895.0,2494.0,1.0
log_tau_participant_raw[230],-0.203,0.63,-1.225,0.978,0.013,0.015,3142.0,2096.0,1.0
log_tau_participant_raw[231],0.626,0.655,-0.425,1.882,0.012,0.011,3778.0,2347.0,1.0
log_tau_participant_raw[232],0.797,0.643,-0.395,1.927,0.01,0.011,4557.0,2918.0,1.0
log_tau_participant_raw[233],1.181,0.626,0.014,2.355,0.009,0.011,5597.0,2817.0,1.0
log_tau_participant_raw[234],1.243,0.624,0.141,2.413,0.01,0.011,4448.0,2777.0,1.0
log_tau_participant_raw[235],0.361,0.704,-0.768,1.704,0.012,0.015,4286.0,2236.0,1.0
log_tau_participant_raw[236],0.725,0.654,-0.338,1.986,0.01,0.011,5151.0,2282.0,1.0
log_tau_participant_raw[237],0.782,0.691,-0.387,2.133,0.011,0.013,4795.0,2396.0,1.0
log_tau_participant_raw[238],0.203,0.57,-0.744,1.293,0.012,0.015,3143.0,1852.0,1.0
log_tau_participant_raw[239],0.862,0.641,-0.235,2.051,0.01,0.011,5141.0,2710.0,1.0
log_tau_participant_raw[240],0.748,0.662,-0.321,2.047,0.011,0.013,4446.0,2210.0,1.0
log_tau_participant_raw[241],0.905,0.668,-0.281,2.136,0.011,0.014,4820.0,1985.0,1.0
log_tau_participant_raw[242],0.164,0.589,-0.799,1.308,0.012,0.013,3306.0,1988.0,1.0
log_tau_participant_raw[243],0.059,0.66,-0.959,1.374,0.012,0.013,4065.0,2668.0,1.0
log_tau_participant_raw[244],0.387,0.659,-0.668,1.678,0.012,0.013,3991.0,2533.0,1.0
log_tau_participant_raw[245],0.561,0.65,-0.455,1.883,0.011,0.012,4333.0,2345.0,1.0
log_tau_participant_raw[246],-1.91,0.541,-2.991,-0.936,0.008,0.009,4797.0,2645.0,1.0
log_tau_participant_raw[247],0.962,0.666,-0.168,2.236,0.01,0.016,5910.0,2116.0,1.0
log_tau_participant_raw[248],-0.427,0.605,-1.341,0.777,0.014,0.018,2839.0,1492.0,1.0
log_tau_participant_raw[249],-1.17,0.408,-1.948,-0.446,0.006,0.008,4694.0,2319.0,1.0
log_tau_participant_raw[250],0.608,0.661,-0.474,1.889,0.011,0.012,4459.0,2169.0,1.0
log_tau_participant_raw[251],-0.491,0.509,-1.272,0.528,0.01,0.018,4261.0,1748.0,1.0
log_tau_participant_raw[252],0.57,0.7,-0.541,1.968,0.012,0.013,4068.0,2097.0,1.0
log_tau_participant_raw[253],-0.077,0.481,-0.845,0.824,0.01,0.015,3427.0,1615.0,1.0
log_tau_participant_raw[254],-0.621,0.547,-1.476,0.411,0.014,0.026,2836.0,1340.0,1.0
log_tau_participant_raw[255],0.428,0.724,-0.777,1.837,0.013,0.013,3952.0,2544.0,1.0
log_tau_participant_raw[256],-0.952,0.399,-1.681,-0.223,0.006,0.01,5661.0,2131.0,1.0
log_tau_participant_raw[257],0.117,0.596,-0.857,1.237,0.012,0.016,3915.0,2100.0,1.0
log_tau_participant_raw[258],-0.475,0.622,-1.44,0.724,0.014,0.019,3176.0,1846.0,1.01
log_tau_participant_raw[259],-0.13,0.517,-0.97,0.819,0.012,0.017,2901.0,1419.0,1.0
log_tau_participant_raw[260],0.615,0.695,-0.639,1.877,0.011,0.012,4541.0,2409.0,1.0
log_tau_participant_raw[261],0.632,0.712,-0.537,1.965,0.011,0.015,4781.0,2480.0,1.0
log_tau_participant_raw[262],-1.555,0.618,-2.819,-0.502,0.009,0.012,5507.0,2639.0,1.0
log_tau_participant_raw[263],-0.014,0.697,-1.139,1.299,0.016,0.016,2955.0,2023.0,1.0
log_tau_participant_raw[264],1.074,0.657,-0.053,2.378,0.009,0.012,5466.0,2246.0,1.0
log_tau_participant_raw[265],0.299,0.692,-0.832,1.637,0.013,0.013,3734.0,2043.0,1.0
log_tau_participant_raw[266],-0.324,0.504,-1.137,0.624,0.01,0.016,3945.0,1706.0,1.0
log_tau_participant_raw[267],0.242,0.692,-0.874,1.587,0.013,0.015,3554.0,2261.0,1.0
log_tau_participant_raw[268],1.007,0.655,-0.187,2.178,0.01,0.012,5611.0,2619.0,1.0
log_tau_participant_raw[269],0.866,0.649,-0.28,2.034,0.01,0.012,5134.0,2424.0,1.0
log_tau_participant_raw[270],0.525,0.724,-0.72,1.857,0.012,0.012,4466.0,2409.0,1.0
log_tau_participant_raw[271],-0.518,0.58,-1.39,0.669,0.015,0.021,2650.0,1378.0,1.0
log_tau_participant_raw[272],0.259,0.68,-0.88,1.514,0.013,0.015,3816.0,2318.0,1.0
log_tau_participant_raw[273],0.694,0.644,-0.35,1.965,0.011,0.012,4675.0,2310.0,1.0
log_tau_participant_raw[274],-0.261,0.485,-1.102,0.633,0.01,0.014,3580.0,1524.0,1.0
log_tau_participant_raw[275],0.65,0.667,-0.46,1.919,0.012,0.012,4207.0,2343.0,1.0
log_tau_participant_raw[276],0.732,0.685,-0.435,2.007,0.011,0.013,4435.0,2439.0,1.0
log_tau_participant_raw[277],-1.377,0.695,-2.645,-0.05,0.01,0.014,5448.0,2587.0,1.0
log_tau_participant_raw[278],-0.512,0.393,-1.21,0.196,0.008,0.012,3681.0,1634.0,1.0
log_tau_participant_raw[279],-0.978,0.421,-1.679,-0.176,0.009,0.02,3282.0,1364.0,1.0
log_tau_participant_raw[280],0.161,0.659,-0.893,1.437,0.013,0.014,3339.0,2043.0,1.0
log_tau_participant_raw[281],-0.135,0.64,-1.161,1.093,0.013,0.018,3409.0,1985.0,1.0
log_tau_participant_raw[282],-0.046,0.681,-1.165,1.274,0.014,0.017,3469.0,2086.0,1.0
log_tau_participant_raw[283],-0.831,0.358,-1.467,-0.18,0.007,0.013,3650.0,2410.0,1.0
log_tau_participant_raw[284],0.898,0.681,-0.28,2.193,0.01,0.012,5040.0,2491.0,1.0
log_tau_participant_raw[285],0.744,0.683,-0.419,2.093,0.01,0.012,5483.0,2504.0,1.0
log_tau_participant_raw[286],0.64,0.695,-0.521,1.953,0.011,0.013,4642.0,2624.0,1.0
log_tau_participant_raw[287],0.852,0.66,-0.276,2.099,0.01,0.012,4730.0,2538.0,1.0
log_tau_participant_raw[288],0.76,0.677,-0.415,2.054,0.01,0.012,5252.0,2685.0,1.0
log_tau_participant_raw[289],0.57,0.7,-0.678,1.83,0.011,0.013,4811.0,2618.0,1.0
log_tau_participant_raw[290],0.527,0.668,-0.591,1.778,0.012,0.012,4239.0,2489.0,1.0
log_tau_participant_raw[291],0.703,0.689,-0.397,2.067,0.011,0.013,4783.0,2331.0,1.0
log_tau_participant_raw[292],0.911,0.653,-0.255,2.125,0.01,0.011,5129.0,2709.0,1.0
log_tau_participant_raw[293],0.212,0.639,-0.833,1.381,0.014,0.016,2931.0,1718.0,1.0
log_tau_participant_raw[294],0.481,0.721,-0.737,1.845,0.011,0.013,4976.0,2622.0,1.0
log_tau_participant_raw[295],0.248,0.789,-1.103,1.786,0.012,0.013,5015.0,3032.0,1.0
log_tau_participant_raw[296],0.581,0.685,-0.588,1.882,0.011,0.013,4810.0,2612.0,1.0
log_tau_participant_raw[297],1.017,0.666,-0.098,2.326,0.011,0.012,4363.0,2726.0,1.0
log_tau_participant_raw[298],0.849,0.687,-0.329,2.141,0.011,0.013,4662.0,2388.0,1.0
log_tau_participant_raw[299],-0.614,0.563,-1.565,0.399,0.013,0.021,2956.0,1376.0,1.0
log_tau_participant_raw[300],-1.526,0.614,-2.653,-0.405,0.009,0.017,4496.0,2658.0,1.0
log_tau_participant_raw[301],1.051,0.657,-0.119,2.248,0.01,0.011,4856.0,2616.0,1.0
log_tau_participant_raw[302],0.558,0.625,-0.476,1.737,0.011,0.012,4308.0,2266.0,1.0
log_tau_participant_raw[303],-0.242,0.452,-0.981,0.63,0.01,0.015,3305.0,1497.0,1.0
log_tau_participant_raw[304],-0.742,0.824,-2.323,0.857,0.012,0.019,5154.0,2286.0,1.0
log_tau_participant_raw[305],0.821,0.662,-0.334,2.048,0.01,0.011,5081.0,2858.0,1.0
log_tau_participant_raw[306],-0.236,0.787,-1.605,1.247,0.014,0.017,4166.0,2484.0,1.0
log_tau_participant_raw[307],0.35,0.674,-0.727,1.671,0.013,0.013,3516.0,2284.0,1.0
log_tau_participant_raw[308],-1.181,0.433,-2.005,-0.399,0.008,0.013,4094.0,1801.0,1.0
log_tau_participant_raw[309],-0.008,0.675,-1.091,1.336,0.014,0.017,3569.0,1976.0,1.0
log_tau_participant_raw[310],-0.265,0.645,-1.29,0.994,0.015,0.016,2698.0,1984.0,1.0
log_tau_participant_raw[311],-1.457,0.492,-2.425,-0.582,0.009,0.013,2863.0,2246.0,1.0
log_tau_participant_raw[312],-0.68,0.462,-1.497,0.187,0.008,0.014,4622.0,1863.0,1.0
log_tau_participant_raw[313],0.845,0.662,-0.223,2.144,0.012,0.014,4068.0,1935.0,1.0
log_tau_participant_raw[314],0.335,0.708,-0.863,1.644,0.012,0.012,4693.0,2267.0,1.0
log_tau_participant_raw[315],0.15,0.693,-1.041,1.463,0.013,0.014,3748.0,2091.0,1.0
log_tau_participant_raw[316],-0.328,0.82,-1.751,1.202,0.014,0.014,4281.0,2490.0,1.0
log_tau_participant_raw[317],-2.043,0.52,-3.139,-1.148,0.008,0.01,4883.0,2993.0,1.0
log_tau_participant_raw[318],0.131,0.658,-0.922,1.437,0.012,0.013,4101.0,2167.0,1.0
log_tau_participant_raw[319],-1.871,0.584,-2.922,-0.736,0.008,0.014,5052.0,2775.0,1.0
log_tau_participant_raw[320],0.723,0.696,-0.53,1.996,0.011,0.012,4598.0,2418.0,1.0
log_tau_participant_raw[321],-0.55,0.529,-1.453,0.45,0.011,0.018,3767.0,1408.0,1.0
log_tau_participant_raw[322],-1.529,0.617,-2.729,-0.435,0.009,0.013,4749.0,2343.0,1.0
log_tau_participant_raw[323],0.872,0.663,-0.216,2.236,0.01,0.012,5137.0,2492.0,1.0
log_tau_participant_raw[324],-0.227,0.553,-1.113,0.83,0.012,0.015,3463.0,1883.0,1.0
log_tau_participant_raw[325],0.196,0.718,-0.967,1.622,0.012,0.012,4148.0,2774.0,1.0
log_tau_participant_raw[326],-1.791,0.489,-2.703,-0.868,0.008,0.01,4620.0,2789.0,1.0
log_tau_participant_raw[327],0.912,0.654,-0.209,2.145,0.01,0.011,5394.0,2399.0,1.0
log_tau_participant_raw[328],-0.911,0.49,-1.736,-0.005,0.013,0.023,2504.0,1351.0,1.0
log_tau_participant_raw[329],0.74,0.668,-0.44,1.948,0.011,0.012,4776.0,2614.0,1.0
log_tau_participant_raw[330],-0.062,0.531,-0.896,0.919,0.012,0.018,3367.0,1453.0,1.0
log_tau_participant_raw[331],0.869,0.674,-0.276,2.144,0.011,0.011,4559.0,2672.0,1.0
log_tau_participant_raw[332],-1.061,0.442,-1.854,-0.299,0.01,0.019,3010.0,1434.0,1.0
log_tau_participant_raw[333],0.734,0.671,-0.378,2.028,0.011,0.012,4445.0,2763.0,1.0
log_tau_participant_raw[334],0.459,0.694,-0.672,1.825,0.012,0.012,4388.0,2510.0,1.0
log_tau_participant_raw[335],0.81,0.694,-0.433,2.095,0.011,0.012,4350.0,2240.0,1.0
log_tau_participant_raw[336],0.942,0.641,-0.151,2.179,0.011,0.011,4392.0,2397.0,1.0
log_tau_participant_raw[337],1.095,0.632,0.022,2.327,0.009,0.011,5468.0,2541.0,1.0
log_tau_participant_raw[338],-1.259,0.368,-1.902,-0.538,0.008,0.011,2875.0,2048.0,1.0
log_tau_participant_raw[339],-0.709,0.456,-1.462,0.177,0.01,0.015,3232.0,1532.0,1.0
log_tau_participant_raw[340],0.627,0.7,-0.544,1.988,0.011,0.012,5090.0,2924.0,1.0
log_tau_participant_raw[341],-1.096,0.597,-2.28,-0.016,0.009,0.015,4846.0,1922.0,1.0
log_tau_participant_raw[342],-0.212,0.476,-0.994,0.645,0.011,0.018,3180.0,1571.0,1.0
log_tau_participant_raw[343],0.64,0.646,-0.439,1.84,0.011,0.012,4194.0,2339.0,1.0
log_tau_participant_raw[344],-1.306,0.413,-2.136,-0.56,0.006,0.008,5648.0,2498.0,1.0
log_tau_participant_raw[345],-1.725,0.528,-2.748,-0.794,0.008,0.013,4798.0,2608.0,1.0
log_tau_participant_raw[346],-0.252,0.549,-1.159,0.8,0.012,0.015,3545.0,1760.0,1.0
log_tau_participant_raw[347],0.386,0.716,-0.786,1.729,0.013,0.016,4189.0,2471.0,1.0
log_tau_participant_raw[348],1.188,0.629,0.094,2.398,0.009,0.011,5229.0,2601.0,1.0
log_tau_participant_raw[349],0.4,0.641,-0.616,1.666,0.011,0.012,4844.0,2618.0,1.0
log_tau_participant_raw[350],0.446,0.689,-0.684,1.81,0.011,0.011,4633.0,2683.0,1.0
log_tau_participant_raw[351],0.186,0.695,-0.891,1.634,0.013,0.016,4018.0,1713.0,1.0
log_tau_participant_raw[352],0.545,0.683,-0.621,1.852,0.012,0.013,3982.0,2532.0,1.0
log_tau_participant_raw[353],0.644,0.718,-0.606,1.966,0.013,0.015,3873.0,2159.0,1.0
log_tau_participant_raw[354],-0.129,0.483,-0.884,0.788,0.01,0.015,3482.0,2054.0,1.0
log_tau_participant_raw[355],0.06,0.66,-1.001,1.301,0.013,0.013,3631.0,2352.0,1.0
log_tau_participant_raw[356],-0.436,0.612,-1.364,0.779,0.015,0.023,3075.0,1345.0,1.01
log_tau_participant_raw[357],0.083,0.678,-0.965,1.41,0.014,0.016,3165.0,1836.0,1.0
log_tau_participant_raw[358],-0.819,0.425,-1.551,-0.045,0.008,0.014,3915.0,2102.0,1.0
log_tau_participant_raw[359],0.403,0.646,-0.645,1.653,0.012,0.013,4070.0,2395.0,1.0
log_tau_participant_raw[360],0.173,0.563,-0.75,1.196,0.012,0.016,3341.0,1817.0,1.0
log_tau_participant_raw[361],0.831,0.626,-0.261,1.985,0.01,0.011,4354.0,2538.0,1.0
log_tau_participant_raw[362],0.737,0.68,-0.468,1.98,0.011,0.012,4951.0,2578.0,1.0
log_tau_participant_raw[363],0.146,0.69,-0.977,1.447,0.015,0.018,3010.0,1615.0,1.0
log_tau_participant_raw[364],1.027,0.657,-0.142,2.254,0.01,0.014,5214.0,2425.0,1.0
log_tau_participant_raw[365],0.152,0.665,-0.871,1.441,0.012,0.012,3927.0,2564.0,1.0
log_tau_participant_raw[366],-0.236,0.9,-1.816,1.465,0.015,0.015,4066.0,2632.0,1.0
log_tau_participant_raw[367],-2.041,0.503,-3.019,-1.114,0.007,0.009,5445.0,2854.0,1.0
log_tau_participant_raw[368],-0.84,0.467,-1.654,0.068,0.008,0.013,4371.0,2134.0,1.0
log_tau_participant_raw[369],-1.058,0.357,-1.721,-0.397,0.006,0.008,4251.0,2673.0,1.0
log_tau_participant_raw[370],-1.063,0.401,-1.816,-0.336,0.006,0.01,4822.0,2097.0,1.0
log_tau_participant_raw[371],0.519,0.682,-0.653,1.742,0.011,0.012,4706.0,2713.0,1.0
log_tau_participant_raw[372],-0.211,0.549,-1.098,0.848,0.011,0.015,3759.0,1888.0,1.0
log_tau_participant_raw[373],0.256,0.564,-0.624,1.323,0.011,0.013,3579.0,2056.0,1.0
log_tau_participant_raw[374],-0.287,0.533,-1.153,0.733,0.012,0.017,3473.0,1562.0,1.0
log_tau_participant_raw[375],0.657,0.744,-0.591,2.055,0.011,0.013,5340.0,2659.0,1.0
log_tau_participant_raw[376],1.003,0.643,-0.104,2.217,0.01,0.012,5562.0,2599.0,1.0
log_tau_participant_raw[377],0.465,0.64,-0.613,1.717,0.01,0.011,5535.0,3186.0,1.0
log_tau_participant_raw[378],-1.727,0.646,-3.006,-0.577,0.009,0.012,5754.0,2636.0,1.0
log_tau_participant_raw[379],0.738,0.671,-0.434,1.943,0.012,0.012,4338.0,2506.0,1.0
log_tau_participant_raw[380],0.591,0.748,-0.702,2.067,0.012,0.013,4444.0,2377.0,1.0
log_tau_participant_raw[381],-1.496,0.641,-2.746,-0.345,0.008,0.013,6080.0,2646.0,1.0
log_tau_participant_raw[382],0.812,0.669,-0.359,2.06,0.01,0.011,4758.0,2859.0,1.0
log_tau_participant_raw[383],-0.756,0.39,-1.469,-0.042,0.007,0.011,4139.0,2070.0,1.0
log_tau_participant_raw[384],0.926,0.678,-0.214,2.255,0.01,0.013,5135.0,2497.0,1.0
log_tau_participant_raw[385],-0.504,0.532,-1.361,0.434,0.014,0.021,2622.0,1118.0,1.0
log_tau_participant_raw[386],0.82,0.688,-0.447,2.044,0.009,0.014,6317.0,2099.0,1.0
log_tau_participant_raw[387],0.603,0.71,-0.567,2.004,0.011,0.013,4725.0,2714.0,1.0
log_tau_participant_raw[388],-0.291,0.6,-1.281,0.862,0.012,0.015,3341.0,1872.0,1.0
log_tau_participant_raw[389],-1.957,0.556,-3.041,-0.961,0.008,0.01,5619.0,2757.0,1.0
log_tau_participant_raw[390],0.79,0.649,-0.352,1.936,0.011,0.012,4737.0,2228.0,1.0
log_tau_participant_raw[391],-0.021,0.773,-1.275,1.473,0.014,0.013,4046.0,2769.0,1.0
log_tau_participant_raw[392],-2.035,0.523,-3.038,-1.1,0.007,0.011,5379.0,2701.0,1.0
log_tau_participant_raw[393],0.223,0.632,-0.78,1.526,0.014,0.015,3085.0,1720.0,1.0
log_tau_participant_raw[394],-0.566,0.369,-1.252,0.106,0.007,0.009,3966.0,1875.0,1.0
log_tau_participant_raw[395],-0.771,0.421,-1.508,0.013,0.009,0.016,3557.0,1662.0,1.0
log_tau_participant_raw[396],-0.903,0.434,-1.631,-0.139,0.011,0.023,2832.0,1448.0,1.0
log_tau_participant_raw[397],-1.939,0.571,-3.035,-0.906,0.008,0.01,5597.0,2653.0,1.0
log_tau_participant_raw[398],0.27,0.582,-0.625,1.414,0.012,0.014,3579.0,2205.0,1.0
log_tau_participant_raw[399],-0.683,0.578,-1.631,0.39,0.012,0.017,3462.0,1673.0,1.0
log_tau_participant_raw[400],0.282,0.698,-0.818,1.608,0.012,0.013,4898.0,2463.0,1.0
log_tau_participant_raw[401],-0.969,0.469,-1.757,-0.071,0.01,0.019,3426.0,1416.0,1.0
log_tau_participant_raw[402],0.422,0.679,-0.69,1.752,0.012,0.012,4005.0,2405.0,1.0
log_tau_participant_raw[403],0.63,0.74,-0.654,2.024,0.011,0.014,5189.0,2632.0,1.0
log_tau_participant_raw[404],-0.025,0.617,-0.987,1.243,0.013,0.017,3289.0,1857.0,1.0
log_tau_participant_raw[405],-0.896,0.428,-1.634,-0.086,0.007,0.013,5047.0,2065.0,1.0
log_tau_participant_raw[406],-1.374,0.643,-2.598,-0.199,0.009,0.012,5374.0,2967.0,1.0
log_tau_participant_raw[407],0.063,0.662,-1.015,1.333,0.012,0.012,4102.0,2379.0,1.0
log_tau_participant_raw[408],1.006,0.654,-0.124,2.247,0.011,0.013,4450.0,2592.0,1.0
log_tau_participant_raw[409],-1.078,0.343,-1.748,-0.465,0.005,0.006,4836.0,2959.0,1.0
log_tau_participant_raw[410],-0.493,0.633,-1.573,0.741,0.012,0.017,3984.0,1813.0,1.0
log_tau_participant_raw[411],-0.213,0.598,-1.186,0.924,0.012,0.014,3328.0,2012.0,1.0
log_tau_participant_raw[412],0.261,0.617,-0.72,1.437,0.013,0.014,3092.0,1999.0,1.0
log_tau_participant_raw[413],0.234,0.763,-1.051,1.696,0.013,0.016,4335.0,2190.0,1.0
log_tau_participant_raw[414],-0.051,0.868,-1.563,1.559,0.013,0.013,4848.0,2956.0,1.0
log_tau_participant_raw[415],0.909,0.678,-0.252,2.188,0.011,0.013,4915.0,2520.0,1.0
log_tau_participant_raw[416],-0.938,0.415,-1.645,-0.151,0.007,0.013,4566.0,2109.0,1.0
log_tau_participant_raw[417],0.3,0.642,-0.729,1.515,0.011,0.013,4277.0,2218.0,1.0
log_tau_participant_raw[418],-0.252,0.661,-1.339,1.045,0.014,0.016,3406.0,1900.0,1.0
log_tau_participant_raw[419],-0.05,0.636,-1.095,1.133,0.012,0.015,3766.0,2226.0,1.0
log_tau_participant_raw[420],-0.004,0.667,-1.083,1.253,0.013,0.014,3766.0,2042.0,1.0
log_tau_participant_raw[421],0.744,0.68,-0.37,2.101,0.012,0.013,3965.0,2367.0,1.0
log_tau_participant_raw[422],-0.352,0.618,-1.368,0.789,0.013,0.018,3116.0,1751.0,1.0
log_tau_participant_raw[423],-0.446,0.57,-1.328,0.735,0.011,0.013,3299.0,2165.0,1.0
log_tau_participant_raw[424],0.04,0.599,-0.898,1.197,0.012,0.017,4002.0,1918.0,1.0
log_tau_participant_raw[425],0.032,0.678,-1.056,1.376,0.014,0.015,3418.0,1967.0,1.0
log_tau_participant_raw[426],0.816,0.652,-0.29,2.025,0.011,0.012,4102.0,2735.0,1.0
log_tau_participant_raw[427],0.014,0.68,-1.032,1.358,0.013,0.013,4065.0,2408.0,1.0
log_tau_participant_raw[428],0.878,0.679,-0.278,2.19,0.011,0.011,4041.0,2401.0,1.0
log_tau_participant_raw[429],0.906,0.675,-0.258,2.18,0.01,0.012,5392.0,2765.0,1.0
log_tau_participant_raw[430],-1.028,0.36,-1.726,-0.382,0.006,0.009,4618.0,2524.0,1.0
log_tau_participant_raw[431],-0.172,0.524,-1.015,0.747,0.013,0.019,2804.0,1478.0,1.0
log_tau_participant_raw[432],0.947,0.653,-0.2,2.189,0.01,0.011,4430.0,2507.0,1.0
log_tau_participant_raw[433],0.984,0.645,-0.198,2.133,0.01,0.011,4831.0,2325.0,1.0
log_tau_participant_raw[434],-0.739,0.465,-1.527,0.146,0.009,0.014,3573.0,1735.0,1.0
log_tau_participant_raw[435],0.556,0.672,-0.53,1.869,0.011,0.012,4795.0,2679.0,1.0
log_tau_participant_raw[436],0.889,0.638,-0.22,2.094,0.009,0.011,5576.0,2988.0,1.0
log_tau_participant_raw[437],0.313,0.705,-0.902,1.651,0.013,0.014,3945.0,2532.0,1.0
log_tau_participant_raw[438],-0.195,0.565,-1.099,0.925,0.011,0.015,3945.0,1806.0,1.0
log_tau_participant_raw[439],-0.455,0.62,-1.443,0.731,0.012,0.016,3810.0,1906.0,1.0
log_tau_participant_raw[440],0.584,0.696,-0.595,1.878,0.011,0.013,4856.0,2475.0,1.0
log_tau_participant_raw[441],-0.358,0.744,-1.531,1.163,0.013,0.015,4460.0,2468.0,1.0
log_tau_participant_raw[442],-1.213,0.418,-2.067,-0.504,0.006,0.008,4888.0,2435.0,1.0
log_tau_participant_raw[443],-0.544,0.588,-1.438,0.569,0.016,0.023,2374.0,1103.0,1.0
log_tau_participant_raw[444],-0.825,0.444,-1.613,0.022,0.007,0.01,4748.0,2171.0,1.0
log_tau_participant_raw[445],-0.86,0.403,-1.641,-0.166,0.007,0.012,4798.0,2033.0,1.0
log_tau_participant_raw[446],-1.047,0.391,-1.738,-0.336,0.007,0.011,3841.0,2066.0,1.0
log_tau_participant_raw[447],0.317,0.619,-0.683,1.513,0.011,0.011,3807.0,2711.0,1.0
log_tau_participant_raw[448],0.481,0.696,-0.675,1.777,0.013,0.014,3950.0,1847.0,1.0
log_tau_participant_raw[449],-1.569,0.389,-2.343,-0.892,0.006,0.008,3965.0,2825.0,1.0
log_tau_participant_raw[450],1.059,0.63,-0.008,2.289,0.01,0.012,4824.0,2088.0,1.0
log_tau_participant_raw[451],0.842,0.686,-0.384,2.104,0.01,0.012,5520.0,2731.0,1.0
log_tau_participant_raw[452],0.895,0.675,-0.243,2.186,0.01,0.012,4923.0,2498.0,1.0
log_tau_participant_raw[453],-0.131,0.658,-1.109,1.198,0.012,0.014,3929.0,2673.0,1.0
log_tau_participant_raw[454],-0.081,0.682,-1.213,1.203,0.014,0.015,3163.0,2062.0,1.0
log_tau_participant_raw[455],0.814,0.689,-0.365,2.11,0.011,0.015,4899.0,1915.0,1.0
log_tau_participant_raw[456],1.218,0.61,0.124,2.327,0.009,0.011,4754.0,2641.0,1.0
log_tau_participant_raw[457],1.025,0.663,-0.22,2.191,0.01,0.012,5040.0,2508.0,1.0
log_tau_participant_raw[458],0.807,0.689,-0.354,2.125,0.011,0.012,4356.0,2435.0,1.0
log_tau_participant_raw[459],0.609,0.644,-0.428,1.817,0.01,0.011,4932.0,2491.0,1.0
log_tau_participant_raw[460],0.655,0.67,-0.457,1.971,0.011,0.012,4747.0,2665.0,1.0
log_tau_participant_raw[461],0.153,0.656,-0.92,1.416,0.011,0.011,4371.0,2705.0,1.0
log_tau_participant_raw[462],0.651,0.657,-0.459,1.868,0.01,0.011,5272.0,2926.0,1.0
log_tau_participant_raw[463],0.485,0.664,-0.617,1.78,0.01,0.011,6057.0,2846.0,1.0
log_tau_participant_raw[464],0.559,0.717,-0.67,1.883,0.011,0.014,5275.0,2842.0,1.0
log_tau_participant_raw[465],0.518,0.63,-0.537,1.658,0.011,0.013,4372.0,2023.0,1.0
log_tau_participant_raw[466],0.697,0.664,-0.413,1.956,0.011,0.012,4637.0,2318.0,1.0
log_tau_participant_raw[467],0.372,0.643,-0.718,1.538,0.011,0.013,4194.0,2333.0,1.0
log_tau_participant_raw[468],0.865,0.656,-0.308,2.055,0.01,0.011,4693.0,2463.0,1.0
