,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[2],0.679,0.702,-0.547,1.968,0.011,0.012,4870.0,2776.0,1.0
log_tau_participant_raw[3],1.172,0.623,0.114,2.352,0.01,0.015,4181.0,2056.0,1.0
log_tau_participant_raw[4],0.963,0.649,-0.185,2.153,0.01,0.013,4716.0,2335.0,1.0
log_tau_participant_raw[5],-1.243,0.453,-2.012,-0.381,0.009,0.016,3478.0,1878.0,1.0
log_tau_participant_raw[6],-0.779,0.474,-1.626,0.117,0.008,0.012,4687.0,2115.0,1.0
log_tau_participant_raw[7],-1.653,0.468,-2.508,-0.748,0.007,0.009,4104.0,2714.0,1.0
log_tau_participant_raw[8],-0.061,0.837,-1.488,1.535,0.014,0.014,4086.0,2487.0,1.0
log_tau_participant_raw[9],0.713,0.655,-0.381,1.918,0.011,0.011,4499.0,2653.0,1.0
log_tau_participant_raw[10],-0.417,0.435,-1.157,0.4,0.01,0.014,3233.0,1449.0,1.0
log_tau_participant_raw[11],0.642,0.698,-0.587,1.912,0.011,0.013,4986.0,2560.0,1.0
log_tau_participant_raw[12],0.967,0.659,-0.251,2.167,0.011,0.013,4631.0,2282.0,1.0
log_tau_participant_raw[13],-0.289,0.816,-1.593,1.312,0.014,0.016,4058.0,2475.0,1.0
log_tau_participant_raw[14],-0.7,0.513,-1.582,0.214,0.01,0.016,3989.0,1521.0,1.0
log_tau_participant_raw[15],0.742,0.681,-0.4,2.023,0.01,0.014,5302.0,2378.0,1.0
log_tau_participant_raw[16],-1.901,0.539,-2.864,-0.839,0.008,0.01,4921.0,2854.0,1.0
log_tau_participant_raw[17],0.852,0.687,-0.34,2.13,0.01,0.012,5196.0,2531.0,1.0
log_tau_participant_raw[18],0.586,0.714,-0.592,2.012,0.012,0.012,4427.0,2642.0,1.0
log_tau_participant_raw[19],-0.144,0.641,-1.156,1.136,0.013,0.013,3563.0,2325.0,1.0
log_tau_participant_raw[20],-0.92,0.521,-1.862,0.038,0.011,0.017,3219.0,1450.0,1.0
log_tau_participant_raw[21],-1.031,0.408,-1.779,-0.299,0.008,0.011,3531.0,1793.0,1.0
log_tau_participant_raw[22],-1.57,0.422,-2.339,-0.762,0.006,0.007,4834.0,2879.0,1.0
log_tau_participant_raw[23],0.53,0.661,-0.619,1.735,0.011,0.012,5023.0,2607.0,1.0
log_tau_participant_raw[24],0.908,0.617,-0.128,2.116,0.01,0.012,4508.0,2448.0,1.0
log_tau_participant_raw[25],0.948,0.664,-0.242,2.167,0.01,0.011,4948.0,2597.0,1.01
log_tau_participant_raw[26],0.477,0.636,-0.532,1.723,0.012,0.013,3948.0,2279.0,1.0
log_tau_participant_raw[27],-0.805,0.442,-1.521,0.002,0.008,0.014,3860.0,1781.0,1.0
log_tau_participant_raw[28],0.483,0.655,-0.667,1.666,0.011,0.013,4425.0,2448.0,1.0
log_tau_participant_raw[29],0.606,0.648,-0.485,1.847,0.012,0.012,4183.0,2679.0,1.0
log_tau_participant_raw[30],0.833,0.632,-0.277,2.036,0.01,0.012,5034.0,2681.0,1.0
log_tau_participant_raw[31],0.248,0.669,-0.838,1.533,0.012,0.015,3925.0,2279.0,1.0
