architecture,acc_agent_matched,acc_human_matched,acc_agent_on_human,acc_human_on_agent,gap_on_human,gap_on_agent
tfidf_logreg,0.5636,0.3262,0.3534,0.4474,-0.0273,+0.1162
embed_mlp,0.5417,0.3245,0.3295,0.3399,-0.0050,+0.2018
distilbert,0.4605,0.3576,0.3006,0.3904,+0.0570,+0.0702
mnl_baseline,0.4518,0.3551,0.3377,0.3618,+0.0173,+0.0899
hier_bayes,0.4649,0.3790,0.3130,0.3180,+0.0661,+0.1469
consensus,0.2544,0.3039,0.3039,0.2544,+0.0000,+0.0000
majority,0.2544,0.3039,0.3039,0.2544,+0.0000,+0.0000
