,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_group_raw[0, 1]",-0.314,0.898,-1.908,1.408,0.014,0.014,4193.0,3134.0,1.0
"beta_group_raw[0, 2]",-0.222,0.873,-1.8,1.5,0.011,0.016,5846.0,2972.0,1.0
"beta_group_raw[0, 3]",-0.346,0.476,-1.244,0.533,0.01,0.007,2315.0,2769.0,1.0
"beta_group_raw[0, 4]",-0.374,0.686,-1.685,0.927,0.011,0.014,4236.0,3110.0,1.0
"beta_group_raw[0, 5]",0.01,0.808,-1.455,1.656,0.011,0.013,5031.0,2976.0,1.0
"beta_group_raw[1, 0]",0.026,0.686,-1.3,1.268,0.011,0.012,4078.0,2856.0,1.0
"beta_group_raw[1, 1]",0.307,0.867,-1.284,2.013,0.012,0.014,5035.0,2791.0,1.0
"beta_group_raw[1, 2]",0.654,0.989,-1.086,2.573,0.014,0.015,5269.0,3156.0,1.0
"beta_group_raw[1, 3]",2.365,0.694,1.135,3.762,0.011,0.01,3735.0,2950.0,1.0
"beta_group_raw[1, 4]",1.204,0.842,-0.339,2.919,0.014,0.015,3610.0,2377.0,1.0
"beta_group_raw[1, 5]",0.547,0.919,-1.199,2.283,0.015,0.014,3764.0,3065.0,1.0
"beta_group_raw[2, 0]",0.551,0.669,-0.682,1.848,0.011,0.014,3706.0,2609.0,1.0
"beta_group_raw[2, 1]",-0.099,0.846,-1.788,1.385,0.012,0.014,4611.0,3127.0,1.0
"beta_group_raw[2, 2]",0.071,0.89,-1.532,1.783,0.01,0.018,7463.0,2713.0,1.0
"beta_group_raw[2, 3]",-0.422,0.484,-1.346,0.473,0.01,0.007,2224.0,2857.0,1.0
"beta_group_raw[2, 4]",0.099,0.713,-1.295,1.394,0.01,0.013,4739.0,3008.0,1.0
"beta_group_raw[2, 5]",0.15,0.825,-1.363,1.72,0.011,0.016,5700.0,3299.0,1.0
"beta_group_raw[3, 0]",0.474,0.658,-0.725,1.743,0.011,0.013,3757.0,2843.0,1.0
"beta_group_raw[3, 1]",-0.001,0.855,-1.611,1.6,0.011,0.015,5914.0,2929.0,1.0
"beta_group_raw[3, 2]",-0.011,0.859,-1.67,1.62,0.011,0.015,6519.0,2817.0,1.0
"beta_group_raw[3, 3]",-0.242,0.47,-1.114,0.636,0.01,0.006,2269.0,2931.0,1.0
"beta_group_raw[3, 4]",-0.152,0.719,-1.474,1.236,0.011,0.013,4371.0,3201.0,1.0
"beta_group_raw[3, 5]",0.269,0.816,-1.264,1.877,0.012,0.014,4638.0,3125.0,1.0
"beta_group_raw[4, 0]",0.956,0.696,-0.307,2.351,0.013,0.013,2809.0,2484.0,1.0
"beta_group_raw[4, 1]",0.237,0.883,-1.368,1.91,0.013,0.014,4288.0,3167.0,1.0
"beta_group_raw[4, 2]",-0.051,0.857,-1.698,1.53,0.011,0.014,6320.0,2976.0,1.0
"beta_group_raw[4, 3]",-0.472,0.463,-1.361,0.374,0.01,0.007,2141.0,2855.0,1.0
"beta_group_raw[4, 4]",-0.632,0.711,-1.942,0.757,0.011,0.012,3966.0,2895.0,1.0
"beta_group_raw[4, 5]",-0.243,0.836,-1.966,1.19,0.012,0.015,4604.0,2584.0,1.0
"beta_group_raw[5, 0]",-0.847,0.794,-2.372,0.595,0.012,0.015,4140.0,2827.0,1.0
"beta_group_raw[5, 1]",-0.449,0.963,-2.25,1.387,0.015,0.015,3979.0,3082.0,1.0
"beta_group_raw[5, 2]",-0.243,0.949,-1.966,1.539,0.012,0.016,6240.0,3060.0,1.0
"beta_group_raw[5, 3]",-0.603,0.552,-1.687,0.4,0.011,0.008,2470.0,2898.0,1.0
"beta_group_raw[5, 4]",-0.15,0.841,-1.625,1.565,0.013,0.013,4081.0,3150.0,1.0
"beta_group_raw[5, 5]",-0.707,0.933,-2.399,1.106,0.015,0.016,4066.0,2908.0,1.0
beta_pop[0],1.338,0.457,0.462,2.184,0.01,0.007,2310.0,2514.0,1.0
beta_pop[1],-1.64,0.373,-2.405,-0.995,0.009,0.006,1797.0,2308.0,1.0
beta_pop[2],0.702,0.361,0.03,1.372,0.007,0.007,2839.0,2935.0,1.0
beta_pop[3],0.211,0.444,-0.625,1.02,0.009,0.007,2532.0,2925.0,1.0
beta_pop[4],-0.265,0.373,-0.977,0.424,0.007,0.007,2820.0,3120.0,1.0
beta_pop[5],0.202,0.283,-0.337,0.73,0.005,0.006,2905.0,2714.0,1.0
log_tau_group[0],0.415,0.251,-0.035,0.91,0.006,0.004,1709.0,2284.0,1.0
log_tau_group[1],0.194,0.223,-0.227,0.608,0.005,0.003,2050.0,2701.0,1.0
log_tau_group[2],0.485,0.239,0.067,0.956,0.006,0.003,1797.0,2603.0,1.0
log_tau_group[3],0.403,0.238,-0.056,0.847,0.006,0.003,1712.0,2505.0,1.0
log_tau_group[4],0.302,0.234,-0.145,0.74,0.006,0.003,1523.0,2300.0,1.0
log_tau_group[5],1.246,0.333,0.626,1.872,0.007,0.004,2150.0,3057.0,1.0
log_tau_group_raw[0],-0.112,0.55,-1.1,0.93,0.011,0.007,2674.0,2985.0,1.0
log_tau_group_raw[1],-0.699,0.592,-1.775,0.427,0.011,0.008,3064.0,2994.0,1.0
log_tau_group_raw[2],0.08,0.542,-0.958,1.075,0.009,0.008,3316.0,3199.0,1.0
log_tau_group_raw[3],-0.137,0.524,-1.057,0.897,0.01,0.007,2978.0,3417.0,1.0
log_tau_group_raw[4],-0.416,0.534,-1.426,0.589,0.01,0.007,2701.0,3167.0,1.0
log_tau_group_raw[5],2.076,0.656,0.83,3.281,0.01,0.01,4485.0,3337.0,1.0
mu_log_tau,0.451,0.242,-0.015,0.89,0.006,0.004,1645.0,2007.0,1.0
sigma_beta_cat[0],0.701,0.268,0.257,1.257,0.005,0.005,2744.0,1595.0,1.0
sigma_beta_cat[1],0.268,0.212,0.0,0.651,0.004,0.004,2591.0,2319.0,1.0
sigma_beta_cat[2],0.472,0.249,0.0,0.891,0.005,0.004,1808.0,1278.0,1.0
sigma_beta_cat[3],0.535,0.24,0.127,0.973,0.004,0.004,2529.0,1952.0,1.0
sigma_beta_cat[4],0.616,0.236,0.228,1.085,0.004,0.004,2676.0,1618.0,1.0
sigma_beta_cat[5],0.395,0.222,0.009,0.795,0.004,0.004,2742.0,1891.0,1.0
sigma_beta_group[0],0.358,0.191,0.001,0.681,0.005,0.004,1308.0,839.0,1.0
sigma_beta_group[1],0.201,0.168,0.0,0.499,0.004,0.003,1952.0,2408.0,1.0
sigma_beta_group[2],0.264,0.217,0.0,0.647,0.004,0.004,2750.0,2024.0,1.0
sigma_beta_group[3],0.847,0.239,0.423,1.29,0.004,0.004,2860.0,2747.0,1.0
sigma_beta_group[4],0.288,0.178,0.002,0.601,0.004,0.003,1859.0,1911.0,1.0
sigma_beta_group[5],0.195,0.153,0.0,0.469,0.003,0.003,1780.0,2093.0,1.0
sigma_log_tau_group,0.397,0.132,0.161,0.643,0.002,0.002,3045.0,3214.0,1.0
