architecture,acc_agent_matched,acc_human_matched,acc_agent_on_human,acc_human_on_agent,gap_on_human,gap_on_agent
tfidf_logreg,0.5636,0.3223,0.3967,0.3969,-0.0744,+0.1667
embed_mlp,0.5088,0.3099,0.3182,0.3158,-0.0083,+0.1930
distilbert,0.4364,0.2975,0.3223,0.3004,-0.0248,+0.1360
mnl_baseline,0.4518,0.2975,0.3719,0.3421,-0.0744,+0.1096
hier_bayes,0.4649,0.3347,0.3264,0.3114,+0.0083,+0.1535
consensus,0.2544,0.3223,0.3223,0.2544,+0.0000,+0.0000
majority,0.2544,0.3223,0.3223,0.2544,+0.0000,+0.0000
tabular_llm,0.5526,0.3512,0.4256,0.4232,-0.0744,+0.1294
cognitive_decay,0.3640,0.2810,0.3017,0.3728,-0.0207,-0.0088
