,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_group_raw[4],-0.031,0.592,-1.205,1.03,0.01,0.009,3699.0,3157.0,1.0
log_tau_group_raw[5],1.665,0.633,0.502,2.888,0.01,0.011,3990.0,3262.0,1.0
mu_log_tau,0.718,0.254,0.251,1.21,0.005,0.004,2253.0,2121.0,1.0
sigma_beta_cat[0],0.415,0.259,0.0,0.865,0.005,0.004,2043.0,2086.0,1.0
sigma_beta_cat[1],0.455,0.251,0.016,0.896,0.005,0.004,2035.0,1631.0,1.0
sigma_beta_cat[2],0.318,0.236,0.001,0.732,0.004,0.004,2569.0,2136.0,1.0
sigma_beta_cat[3],0.516,0.239,0.099,0.991,0.005,0.004,2346.0,1567.0,1.0
sigma_beta_cat[4],0.269,0.21,0.0,0.634,0.004,0.003,2302.0,1972.0,1.0
sigma_beta_cat[5],0.341,0.212,0.0,0.721,0.004,0.003,2261.0,1315.0,1.0
sigma_beta_group[0],0.415,0.236,0.001,0.817,0.005,0.003,2133.0,1821.0,1.0
sigma_beta_group[1],0.401,0.262,0.0,0.846,0.007,0.004,1296.0,1828.0,1.0
sigma_beta_group[2],0.265,0.215,0.0,0.644,0.004,0.004,2749.0,2394.0,1.0
sigma_beta_group[3],0.795,0.245,0.363,1.263,0.005,0.004,2055.0,1665.0,1.0
sigma_beta_group[4],0.321,0.201,0.001,0.664,0.004,0.003,1841.0,2036.0,1.0
sigma_beta_group[5],0.295,0.193,0.001,0.626,0.004,0.003,1876.0,2155.0,1.0
sigma_log_tau_group,0.454,0.151,0.185,0.735,0.003,0.002,1923.0,2802.0,1.0
