,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[2],1.105,0.642,-0.084,2.251,0.011,0.013,4180.0,2368.0,1.0
log_tau_participant_raw[3],0.958,0.641,-0.141,2.149,0.011,0.011,3825.0,2388.0,1.0
log_tau_participant_raw[4],-1.333,0.38,-2.053,-0.658,0.007,0.008,3312.0,2268.0,1.0
log_tau_participant_raw[5],-1.616,0.503,-2.6,-0.719,0.009,0.011,3513.0,2689.0,1.0
log_tau_participant_raw[6],-0.24,0.742,-1.441,1.227,0.014,0.015,3604.0,2315.0,1.0
log_tau_participant_raw[7],0.878,0.68,-0.32,2.155,0.012,0.012,3969.0,2309.0,1.0
log_tau_participant_raw[8],-0.204,0.762,-1.366,1.349,0.014,0.017,3939.0,2054.0,1.0
log_tau_participant_raw[9],-0.772,0.377,-1.471,-0.111,0.007,0.011,3537.0,1846.0,1.0
log_tau_participant_raw[10],0.831,0.684,-0.329,2.146,0.012,0.013,3672.0,2167.0,1.0
log_tau_participant_raw[11],-1.984,0.511,-2.941,-0.996,0.008,0.01,4367.0,2196.0,1.0
log_tau_participant_raw[12],0.955,0.638,-0.169,2.138,0.011,0.011,3559.0,2460.0,1.0
log_tau_participant_raw[13],0.385,0.676,-0.717,1.715,0.012,0.014,4104.0,2369.0,1.0
log_tau_participant_raw[14],-0.319,0.525,-1.173,0.676,0.012,0.014,2894.0,1806.0,1.0
log_tau_participant_raw[15],-0.925,0.478,-1.703,-0.001,0.013,0.021,2271.0,1104.0,1.0
log_tau_participant_raw[16],-1.124,0.369,-1.788,-0.452,0.007,0.008,3448.0,2227.0,1.0
log_tau_participant_raw[17],-1.779,0.45,-2.596,-0.903,0.007,0.009,4001.0,2756.0,1.0
log_tau_participant_raw[18],0.598,0.661,-0.514,1.796,0.013,0.012,3568.0,2371.0,1.0
log_tau_participant_raw[19],0.926,0.652,-0.152,2.154,0.012,0.011,3139.0,2432.0,1.0
log_tau_participant_raw[20],1.086,0.629,-0.042,2.252,0.011,0.011,3784.0,2718.0,1.0
log_tau_participant_raw[21],0.572,0.63,-0.504,1.724,0.012,0.012,3223.0,2239.0,1.0
log_tau_participant_raw[22],-0.888,0.387,-1.578,-0.183,0.008,0.013,3232.0,1577.0,1.0
log_tau_participant_raw[23],0.386,0.653,-0.684,1.61,0.012,0.014,4133.0,2376.0,1.0
log_tau_participant_raw[24],0.356,0.661,-0.668,1.638,0.012,0.013,3749.0,2208.0,1.0
log_tau_participant_raw[25],1.06,0.63,-0.013,2.25,0.011,0.011,3839.0,2518.0,1.0
log_tau_participant_raw[26],0.068,0.675,-1.032,1.371,0.014,0.015,3565.0,2236.0,1.0
log_tau_participant_raw[27],0.757,0.683,-0.373,2.119,0.012,0.012,3682.0,2310.0,1.0
log_tau_participant_raw[28],0.858,0.651,-0.303,2.058,0.01,0.011,4575.0,2836.0,1.0
log_tau_participant_raw[29],0.092,0.598,-0.861,1.245,0.014,0.018,2701.0,1724.0,1.0
log_tau_participant_raw[30],0.77,0.647,-0.324,1.982,0.013,0.012,3058.0,2348.0,1.0
log_tau_participant_raw[31],-1.057,0.367,-1.714,-0.413,0.008,0.022,3042.0,1810.0,1.0
log_tau_participant_raw[32],0.875,0.665,-0.307,2.096,0.011,0.012,4187.0,2714.0,1.0
log_tau_participant_raw[33],0.768,0.657,-0.348,1.973,0.011,0.013,4437.0,2281.0,1.0
log_tau_participant_raw[34],-0.291,0.555,-1.177,0.8,0.013,0.014,2664.0,1761.0,1.0
log_tau_participant_raw[35],0.73,0.674,-0.406,2.028,0.011,0.012,4058.0,2788.0,1.0
log_tau_participant_raw[36],1.041,0.646,-0.062,2.283,0.012,0.013,3401.0,2324.0,1.0
log_tau_participant_raw[37],0.802,0.669,-0.35,2.064,0.012,0.012,3430.0,2523.0,1.0
log_tau_participant_raw[38],0.857,0.64,-0.211,2.09,0.011,0.011,3889.0,2518.0,1.0
log_tau_participant_raw[39],0.803,0.678,-0.367,2.078,0.012,0.012,3798.0,2552.0,1.0
log_tau_participant_raw[40],-0.062,0.59,-0.963,1.087,0.012,0.014,3043.0,2197.0,1.0
log_tau_participant_raw[41],0.153,0.646,-0.86,1.431,0.012,0.014,3692.0,2231.0,1.0
log_tau_participant_raw[42],0.876,0.634,-0.246,2.022,0.011,0.012,4411.0,2533.0,1.0
log_tau_participant_raw[43],0.064,0.547,-0.819,1.103,0.011,0.014,3813.0,1867.0,1.0
log_tau_participant_raw[44],0.723,0.671,-0.439,1.972,0.011,0.011,4089.0,2417.0,1.0
log_tau_participant_raw[45],0.303,0.656,-0.735,1.576,0.013,0.013,3143.0,2007.0,1.0
log_tau_participant_raw[46],0.351,0.669,-0.784,1.611,0.014,0.013,2863.0,2109.0,1.0
log_tau_participant_raw[47],-0.083,0.606,-0.978,1.167,0.014,0.017,2717.0,1656.0,1.0
log_tau_participant_raw[48],0.638,0.628,-0.406,1.837,0.011,0.012,4452.0,2437.0,1.0
log_tau_participant_raw[49],0.755,0.666,-0.34,2.064,0.011,0.011,4300.0,2466.0,1.0
log_tau_participant_raw[50],0.764,0.639,-0.295,1.993,0.011,0.012,3840.0,2169.0,1.0
log_tau_participant_raw[51],0.398,0.684,-0.722,1.687,0.013,0.013,3576.0,2131.0,1.0
log_tau_participant_raw[52],0.485,0.612,-0.525,1.633,0.011,0.012,3804.0,2158.0,1.0
log_tau_participant_raw[53],-1.226,0.325,-1.853,-0.622,0.005,0.006,3518.0,2761.0,1.0
log_tau_participant_raw[54],-0.113,0.59,-1.024,1.088,0.013,0.017,2716.0,1900.0,1.0
log_tau_participant_raw[55],0.637,0.687,-0.524,1.958,0.013,0.012,3288.0,2220.0,1.0
log_tau_participant_raw[56],0.204,0.637,-0.822,1.465,0.012,0.013,3852.0,2477.0,1.0
log_tau_participant_raw[57],0.838,0.602,-0.183,2.026,0.011,0.011,3621.0,2603.0,1.0
log_tau_participant_raw[58],0.146,0.706,-1.01,1.499,0.015,0.015,2973.0,1616.0,1.0
log_tau_participant_raw[59],-2.087,0.553,-3.129,-1.075,0.009,0.011,4100.0,2377.0,1.0
log_tau_participant_raw[60],0.582,0.677,-0.56,1.862,0.013,0.012,3386.0,2465.0,1.0
log_tau_participant_raw[61],-0.806,0.37,-1.465,-0.157,0.007,0.012,3424.0,1614.0,1.0
log_tau_participant_raw[62],0.62,0.609,-0.38,1.784,0.011,0.01,4202.0,2638.0,1.0
log_tau_participant_raw[63],-0.053,0.634,-1.018,1.216,0.014,0.016,2823.0,1936.0,1.0
log_tau_participant_raw[64],0.507,0.666,-0.575,1.806,0.012,0.012,3452.0,2174.0,1.0
log_tau_participant_raw[65],-1.224,0.336,-1.857,-0.63,0.006,0.005,3179.0,2750.0,1.0
log_tau_participant_raw[66],-1.15,0.367,-1.833,-0.473,0.006,0.008,3409.0,2530.0,1.0
log_tau_participant_raw[67],-1.166,0.343,-1.8,-0.515,0.005,0.007,4142.0,2540.0,1.0
